Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1515367860,16285.21,16300,16270.16,16284.29,8.10723892,131938.98058,16274.218865
1515367920,16299.97,16300,16271.76,16299.01,4.47165008,72855.108217,16292.667564
1515367980,16299.01,16299.88,16201,16201,12.68503925,206090.01543,16246.699074
1515368040,16201,16242.19,16167.36,16167.52,26.99695528,436978.87494,16186.228054
1515368100,16167.51,16182.15,16167.51,16179.08,9.40955759,152141.14529,16168.788366
1515368160,16179.08,16233.1,16168,16216.89,11.62486976,188150.70707,16185.18839
1515368220,16216.77,16232.41,16182.91,16196.83,12.76852815,206861.09273,16200.856536
1515368280,16196.82,16229.09,16175.91,16227.21,10.16885376,164618.12075,16188.463777
1515368340,16227.21,16270.38,16226.16,16270.24,6.42266628,104239.88284,16230.001419
1515368400,16230.22,16269.99,16230.1,16269.85,3.03396768,49328.910554,16258.878062
1515368460,16269.61,16269.88,16230.47,16250,6.89582982,112061.72881,16250.651732
1515368520,16230.68,16250,16230.46,16230.46,0.41387764,6721.2238685,16239.639978
1515368580,16231,16249.99,16231,16231.01,2.79678446,45400.839049,16233.227729
1515368640,16249.91,16249.91,16192.13,16200.21,10.73251694,174032.63742,16215.454249
1515368700,16200.11,16200.21,16177,16196.37,8.00896467,129686.50964,16192.668464
1515368760,16182.51,16200,16182.51,16183.01,9.54985779,154577.76936,16186.394893
1515368820,16188.94,16200,16183,16183,7.51287555,121637.05675,16190.479389
1515368880,16199.7,16199.9,16168,16168.01,3.19193934,51671.688952,16188.180115
1515368940,16198.57,16198.57,16154.59,16189.68,12.70252208,205241.93803,16157.573806
1515369000,16180.6,16180.83,16156,16180.5,4.84960708,78415.790576,16169.514206
1515369060,16180.22,16180.49,16155,16180.49,2.8607552,46281.491903,16178.067911
1515369120,16180.39,16180.4,16178.66,16178.66,2.34708707,37976.367965,16180.212677
1515369180,16178.66,16178.66,16155,16155.01,2.01453023,32547.259484,16156.252708
1515369240,16155,16176.84,16155,16167.89,4.4928132,72647.629014,16169.741714
1515369300,16155.01,16168,16155.01,16165.01,3.016926,48770.118511,16165.500417
1515369360,16167.98,16179.65,16154.59,16154.6,2.88754103,46660.414604,16159.22133
1515369420,16178.07,16178.07,16142.13,16176.43,1.01469431,16402.389804,16164.858364
1515369480,16131.19,16176.1,16114.3,16114.3,16.89722505,272434.23663,16123.016402
1515369540,16169.82,16189.43,16114.49,16124.02,6.38475657,103222.04009,16166.949978
1515369600,16173.98,16176.96,16102.05,16166.78,25.63379053,413278.39464,16122.40664
